"Q1Ahead_error","1h_forecast_revision","Q2Ahead_error","2h_forecast_revision","Q3Ahead_error","3h_forecast_revision"
-0.113333333,-2.39,0.540000000000001,-2.4,0.15,-2.65
0.99,-0.449999999999999,0.600000000000001,-0.450000000000001,0.949999999999999,-0.479999999999999
-1.18666667,-0.699999999999999,-1.08,-1.1,-3.683333333,-1.6
0.52,-1.6,-2.183333333,-1.5,-2.993333333,-1.6
1.106666667,-3.5,1.396666667,-3.5,2.14,-3.5
0.5,0.470000000000001,0.970000000000001,0.529999999999999,1.696666667,0.54
0.17,0.800000000000001,0.996666667,0.700000000000001,1.62,0.6
-2.64,0.0999999999999996,-3.293333333,0.0999999999999996,-3.533333333,0.199999999999999
-1.393333333,-1.9,-1.433333333,-2.1,-1.903333333,-2.3
-0.953333332999999,-0.48,-1.613333333,-0.290000000000001,-2.7,-1.16
-0.803333333,-0.81,-1.76,-0.94,-2.576666667,-1.77
-0.0266666669999998,-1.12,0.336666667,-1.7,0.556666667,-2.3
2.81333333,-5,3.42,-5,0.816666667,-4.5
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
-1.18666667,-0.5,-1.58,0,-4.183333333,-0.300000000000001
-2.68,1.1,-5.683333333,1.5,-5.093333333,0
-2.383333333,-3.3,-4.293333333,-0.800000000000001,-4.293333333,-0.0999999999999996
-4.093333333,-0.199999999999999,-4.293333333,0,-4.203333333,0
-0.593333332999999,-3.7,-0.103333333,-4.1,0.940000000000001,-4.6
0.296666667,-0.4,0.940000000000001,0,0.5,0.500000000000001
0.890000000000001,0.0500000000000007,0.4,0.0999999999999996,0.57,0.25
-1.12,1.52,-1.03,1.6,-0.603333333,1.6
-0.279999999999999,-0.75,0.196666667000001,-0.800000000000001,0.540000000000001,-0.82
0.546666667,-0.35,0.77,-0.229999999999999,-1.196666667,0
0.44,0.33,-1.396666667,0.199999999999999,-2.216666667,-0.0999999999999996
-1.296666667,-0.0999999999999996,-2.016666667,-0.200000000000001,-2.94,-0.4
-1.316666667,-0.699999999999999,-2.29,-0.65,-2.893333333,-0.6
-1.79,-0.5,-2.393333333,-0.5,-2.833333333,-0.5
-1.643333333,-0.75,-2.083333333,-0.75,-2.853333333,-0.75
-0.0833333329999997,-2,-0.753333333,-2.1,-1.81,-2.45
-0.403333333,-0.350000000000001,-1.22,-0.59,-1.906666667,-0.67
-0.96,-0.260000000000001,-1.576666667,-0.33,-1.846666667,-0.39
-1.576666667,0,-1.846666667,0,-1.663333333,0
-1.146666667,-0.7,-1.063333333,-0.600000000000001,-1.043333333,-0.53
-0.0333333329999999,-1.03,0.0666666669999998,-1.11,0.0333333329999999,-0.99
-0.343333333,0.41,-0.056666667,0.0899999999999999,-0.336666667,0.15
-0.016666667,-0.04,-0.256666667,-0.0800000000000001,-0.426666667,-0.149999999999999
0.0633333330000001,-0.32,-0.0766666669999996,-0.350000000000001,0.39,-0.37
-0.396666667,0.32,-0.14,0.529999999999999,0.41,0.76
-0.04,-0.0999999999999996,0.66,-0.25,1.126666667,-0.5
0.91,-0.25,1.326666667,-0.199999999999999,1.89,-0.0999999999999996
0.506666667,0.819999999999999,1.3,0.59,1.15,0.31
1.24,0.0599999999999996,1.01,0.140000000000001,0.243333333000001,0.319999999999999
-0.390000000000001,1.4,-1.056666667,1.3,-1.346666667,1.1
-0.756666666999999,-0.300000000000001,-0.996666667,-0.35,-0.94,-0.4
-0.726666667000001,-0.27,-0.640000000000001,-0.299999999999999,-0.753333333,-0.25
-0.24,-0.4,-0.353333332999999,-0.4,-0.673333333,-0.549999999999999
-0.0133333329999994,-0.34,-0.363333333,-0.31,-0.899999999999999,-0.36
-0.473333333,0.11,-1.11,0.21,-2.226666667,0.25
-1.16,-1.32,-1.906666667,-1.3,-2.24,-1.28
-1.456666667,-0.45,-1.62,-0.62,-2.216666667,-0.7
-0.919999999999999,-0.7,-1.596666667,-0.62,-1.71,-0.5
-1.036666667,-0.56,-1.23,-0.48,-1.44,-0.5
-0.88,-0.35,-1.06,-0.380000000000001,-1.083333333,-0.45
-0.16,-0.899999999999999,-0.193333333,-0.89,-0.216666667,-0.87
-0.383333333,0.19,-0.646666667,0.43,-0.94,0.7
-0.036666667,-0.61,-0.04,-0.9,-0.606666667,-0.25
2.31333333,-2.8,2.42,-0.5,-0.683333333,0.699999999999999
0.619999999999999,1.8,-1.183333333,0.5,-1.593333333,-1.5
-1.183333333,0,-1.593333333,0,-1.143333333,-0.0500000000000007
-1.696666667,0.199999999999999,-2.616666667,0,-3.84,-0.5
-0.316666667,-2.3,-2.29,-1.55,-3.393333333,-1.5
-0.633333332999999,-1.35,-2.103333333,0.550000000000001,-3.56,0.149999999999999
0.406666667,-4,0.856666667000001,-5.25,1.146666667,-4.25
0.606666667000001,0.25,0.896666667,0.25,1.34,0.55
0.113333330000001,-0.800000000000001,-0.58,0.5,-5.183333333,2
-0.98,0.4,-4.683333333,-0.5,-5.693333333,-0.9
-2.683333333,-2,-4.893333333,-0.799999999999999,-4.093333333,NA
NA,NA,NA,NA,NA,NA
-1.193333333,NA,-0.703333333,NA,0.640000000000001,NA
0.696666667,-1.4,1.14,-0.5,0.800000000000001,-1.2
1.14,0,1,-0.2,1.67,0
1,0,1.67,0,2.496666667,0
1.37,0.3,2.696666667,-0.2,3.02,1
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
-0.593333333,NA,-1.033333333,NA,-1.603333333,NA
-0.333333333,-0.699999999999999,-1.403333333,-0.199999999999999,-2.76,0.0999999999999996
-1.203333333,-0.200000000000001,-2.56,-0.200000000000001,-2.676666667,-0.300000000000001
-0.96,-1.6,-2.076666667,-0.6,-2.546666667,0.100000000000001
-0.606666667,-1.47,-0.676666667,-1.87,-0.653333333,-2.01
-0.396666667,-0.28,-0.363333333,-0.29,-0.323333333000001,-0.56
0.436666667000001,-0.800000000000001,0.456666666999999,-0.78,0.673333333,-0.649999999999999
0.456666666999999,0,0.743333333,-0.0700000000000003,0.163333333,0
0.143333332999999,0.600000000000001,-0.136666667,0.3,-0.376666666999999,0.199999999999999
-0.156666667,0.0199999999999996,-0.376666666999999,0,0.00999999999999979,0
-0.476666667,0.100000000000001,0.00999999999999979,0,0.609999999999999,0.100000000000001
0.28,-0.27,0.609999999999999,0,1.126666667,0.0999999999999996
0.609999999999999,0,1.126666667,0,1.94,0
0.826666667,0.300000000000001,1.24,0.7,1.11,0.399999999999999
0.94,0.3,0.81,0.3,0.143333333,0.3
-0.390000000000001,1.2,-1.056666667,1.2,-1.246666667,1
-0.756666666999999,-0.300000000000001,-0.746666667,-0.5,-0.640000000000001,-0.4
0.153333333,-0.9,0.16,-0.800000000000001,0.246666667,-0.2
0.16,0,0.246666667,0,0.0766666669999996,0
0.0366666670000004,0.21,-0.183333333,0.26,-0.74,0.23
-0.463333333,0.28,-1.04,0.299999999999999,-1.996666667,0.0899999999999999
-0.18,-0.859999999999999,-1.246666667,-0.75,-1.96,-0.5
-0.796666667,-0.449999999999999,-1.31,-0.649999999999999,-1.703333333,-0.72
-0.840000000000001,-0.47,-0.723333332999999,-0.98,-1.86,-0.83
-0.823333333,0.100000000000001,-1.86,0,-2.606666667,-0.0999999999999996
-1.86,0,-2.606666667,0,-3.02,0
-1.206666667,-1.4,-1.72,-1.3,-2.616666667,-1.1
-0.12,-1.6,-0.816666667,-1.8,-1.03,-2
-1.016666667,0.2,-1.23,0.2,-1.54,0.2
-0.58,NA,-2.683333333,NA,-3.093333333,NA
1.02,0.600000000000001,-0.296666667,0.5,-0.616666667000001,0.100000000000001
0.106666667000001,-2,0.146666667,-2.25,0.640000000000001,-2.5
0.596666667000001,0.6,1.02,0.4,-0.696666667000001,0.199999999999999
0.32,0.699999999999999,-1.396666667,0.699999999999999,-2.616666667,0.800000000000001
0.0633333300000007,-1.05,-0.0800000000000001,-0.699999999999999,-3.933333333,0.15
-0.68,0.6,-3.783333333,-0.15,-5.293333333,-0.550000000000001
-2.933333333,-0.85,-4.593333333,-0.699999999999999,-4.693333333,-0.699999999999999
0.916666666999999,-0.449999999999999,1.61,-0.43,1.38,-0.27
1.34,0.27,1.2,0.18,1.77,0.0900000000000007
-0.649999999999999,1.85,-0.199999999999999,1.97,0.686666667000001,1.81
0.73,-0.93,1.636666667,-0.949999999999999,2.36,-0.899999999999999
0.906666667,0.73,1.46,0.899999999999999,-0.0266666670000006,0.88
0.26,1.2,-1.126666667,1.1,-1.506666667,0.879999999999999
-2.096666667,0.970000000000001,-2.816666667,1.31,-3.44,1.22
-0.916666666999999,-1.9,-1.84,-1.6,-2.093333333,-1.6
-0.46,-1.38,-0.743333333,-1.35,-0.633333332999999,-1.4
-0.233333333,-0.51,-0.123333333,-0.51,-0.353333333,-0.5
-0.0633333330000001,-0.0599999999999996,-0.283333333,-0.0700000000000003,-0.99,-0.0600000000000005
-0.143333333,-0.14,-0.930000000000001,-0.0599999999999996,-1.536666667,-0.0200000000000005
-0.96,0.0299999999999994,-1.476666667,-0.0599999999999996,-1.646666667,-0.0599999999999996
-0.576666667,-0.9,-0.276666667,-1.37,0.346666667,-1.81
-0.186666667,-0.0899999999999999,-0.0833333329999997,0.43,0.056666667,0.409999999999999
0.376666667,-0.46,0.676666666999999,-0.619999999999999,0.973333332999999,-0.51
-0.0233333330000001,0.699999999999999,0.263333332999999,0.71,-0.096666667,0.93
0.323333333,-0.0600000000000005,0.133333332999999,-0.23,-0.0266666669999998,-0.31
0.36,0.0800000000000001,1.15,0.0800000000000001,1.846666667,0.0999999999999996
0.37,0.779999999999999,1.106666667,0.74,1.91,0.71
0.300000000000001,0.199999999999999,-0.196666666999999,0.119999999999999,-0.266666667,0.04
-0.706666667,0.510000000000002,-0.136666667,-0.13,0.45,-0.5
0.056666667,0.11,-0.183333333,0.11,-0.64,0.11
-0.133333333,-0.0499999999999998,-0.6,-0.04,-1.536666667,-0.04
-0.83,-0.29,-0.973333332999999,-0.29,-1.8,-0.28
0.00666666700000018,-0.98,-0.83,-0.97,-1.706666667,-1.24
-0.18,-1.1,-1.036666667,-1.07,-1.28,-1.14
-0.796666667,-0.24,-1.04,-0.239999999999999,-1.4,-0.25
-0.0733333329999999,0.14,-0.096666667,-0.0699999999999998,-0.0899999999999999,-0.26
0.376666667,0.32,0.92,0.55,1.116666667,0.78
0.81,0.109999999999999,1.016666667,0.0999999999999996,0.856666667,0.11
0.526666667,0.49,0.246666667,0.609999999999999,0.00666666699999929,0.590000000000001
-0.483333333,0.73,-0.713333333,0.72,-0.83,0.71
-0.713333333,0,-0.83,0,-1.16,0
-0.32,-0.51,-0.65,-0.51,-0.56,-0.51
-0.180000000000001,-0.47,-0.100000000000001,-0.46,-0.0233333330000001,-0.56
0.289999999999999,-0.39,0.366666667,-0.39,0.256666667,-0.390000000000001
0.0366666670000004,0.329999999999999,-0.0833333329999997,0.34,-0.0100000000000007,0.34
-0.0833333329999997,0,-0.0100000000000007,0,-0.0433333329999996,0
-0.453333333,0.48,-0.4,0.470000000000001,-0.436666667,0.46
-0.0933333330000004,-0.19,-0.266666667,-0.19,-0.846666667,-0.180000000000001
-0.236666667,-0.0300000000000002,-0.816666667000001,-0.0299999999999994,-0.683333333,-0.0200000000000005
0.163333333,0.11,0.37,0.0800000000000001,0.773333333,0.0499999999999998
-0.119999999999999,0.489999999999999,0.223333332999999,0.550000000000001,0.649999999999999,0.61
0.00333333299999961,0.22,0.51,0.14,0.703333333,0.0899999999999999
0.409999999999999,0.100000000000001,0.703333333,0,0.966666667,0.0499999999999998
-0.056666667,0.76,0.256666667,0.71,0.256666667,0.64
-1.273333333,0,-2.44,0,-2.93,0
-1.5,-0.94,-2.01,-0.92,-3.283333333,-0.92
-0.49,-1.52,-1.783333333,-1.5,-1.99,-1.71
-1.103333333,-0.68,-1.33,-0.66,-1.456666667,-0.54
0.05,-1.38,0.0433333330000001,-1.5,-0.256666667,-1.27
-0.036666667,0.0800000000000001,-0.366666667,0.11,-0.676666667,-0.11
-0.476666667,0.11,-1.256666667,0.58,-1.423333333,0.34
-0.346666667,-0.91,-0.513333333,-0.91,-0.86,-0.68
-0.613333333,0.1,-0.75,-0.11,-0.86,-0.34
-0.28,-0.47,-0.65,-0.21,-0.663333333,-0.22
-0.37,-0.28,-0.413333333,-0.25,-0.443333333,-0.45
-0.303333333,-0.11,-0.393333333,-0.05,-0.293333333,-0.19
-0.033333333,-0.36,-0.123333333,-0.17,0.036666667,-0.15
-0.123333333,0,0.086666667,-0.05,0.506666667,-0.2
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
0.606666667000001,-1,1.396666667,-1,1.64,-1
1.396666667,0,1.64,0,0.800000000000001,-0.5
1.64,0,0.800000000000001,0,0.869999999999999,0.0500000000000007
-0.199999999999999,1,0.369999999999999,0.5,1.496666667,0.300000000000001
0.67,-0.300000000000001,1.496666667,0,2.32,0
1.546666667,-0.0500000000000007,2.32,0,0.553333332999999,0.25
0.32,2,-1.696666667,2.25,-2.816666667,2.5
-1.696666667,0,-2.816666667,0,-4.04,0
-0.816666667,-2,-2.24,-1.8,-2.893333333,-2
-0.24,-2,-0.893333333,-2,-1.833333333,-1.5
-1.393333333,0.5,-1.833333333,0,NA,NA
-0.0333333329999999,-1.8,0.196666667,NA,-0.36,NA
0.196666667,0,-0.29,-0.0700000000000003,-0.986666667,0.21
-0.46,0.17,-0.976666667,-0.00999999999999979,-1.146666667,-0.32
-0.0633333329999992,-0.25,-0.143333333,-0.25,0.0433333329999996,-0.25
-0.243333333000001,0.100000000000001,-0.156666667000001,0.2,-0.636666667,0.3
0.0433333329999996,-0.2,-0.436666667,-0.2,-0.776666667,-0.3
-0.136666667,-0.3,-0.476666667,-0.3,-0.19,-0.199999999999999
-0.376666666999999,-0.100000000000001,-0.19,0,0.31,0.2
0.426666667,-0.2,0.839999999999999,-0.2,0.41,-0.4
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
-1.58,3,-3.683333333,1,-4.593333333,-0.5
-2.883333333,-0.800000000000001,-4.093333333,-0.5,-4.093333333,-1.8
-0.0933333330000004,-4,-1.893333333,-2.2,-2.403333333,-1.7
-0.193333333,-1.7,-0.103333333,-2.3,0.34,-2.4
0.596666667,-0.7,0.84,-0.5,0.100000000000001,-0.300000000000001
0.940000000000001,-0.100000000000001,0.4,-0.299999999999999,0.550000000000001,-0.280000000000001
-0.399999999999999,0.799999999999999,-0.23,0.780000000000001,0.146666667,0.84
-0.0299999999999994,-0.200000000000001,0.396666667,-0.25,0.720000000000001,-0.4
0.896666667,-0.5,1.32,-0.6,-0.496666667000001,-0.6
-1.093333333,-3.2,-0.793333333,-3.5,-0.403333333000001,-3.6
0.306666667000001,-1.1,0.696666667,-1.1,1.54,-1.2
0.896666667,-0.2,1.64,-0.0999999999999996,1.3,0
-0.676666667,-0.899999999999999,-0.896666667,-0.95,-0.763333332999999,-0.9
-0.246666667,-0.65,-0.0633333329999992,-0.7,-0.0433333330000005,-0.649999999999999
0.346666667,-0.409999999999999,0.486666667,-0.53,0.943333333,-0.7
0.056666667,0.43,0.443333333,0.5,0.163333333,0.52
