Bias_data_mat_h21,Bias_data_mat_h22,Bias_data_mat_h23
94,24,-0.0366666670000004
94,25,-0.866666667
94,26,1.06
94,28,1.726666667
94,29,1.14
94,31,-0.056666667
94,32,-0.0466666670000002
94,35,0.576666667
94,37,-0.876666667
94,39,0.0766666670000005
94,40,-1.26
94,41,-1.806666667
94,42,-0.62
94,43,-0.816666667
94,44,-0.83
94,45,-0.34
94,46,-0.0333333329999999
94,47,-0.396666667
94,48,-0.24
94,49,NaN
94,50,0.986666667
94,51,0.976666667
94,52,0.680000000000001
94,53,0.536666667
94,54,-0.503333333
94,56,0.0599999999999996
94,57,0.23
94,58,0.319999999999999
94,59,0.696666667
94,60,-0.123333333
94,61,-0.44
94,63,-0.453333333
94,64,-0.81
94,65,-0.346666667
94,66,-0.323333333
94,68,-0.746666667
94,69,-0.0933333330000004
94,71,0.180000000000001
94,72,0.443333333
94,73,0.39
94,75,0.286666667
94,79,-1.03
94,80,-1.293333333
99,7,2.2
99,8,0.460000000000001
99,9,0.380000000000001
99,10,1.496666667
99,11,1.78
99,14,-1.04
99,15,-0.993333333
99,16,0.016666667
99,17,-1.003333333
99,18,-1.16
99,19,-1.276666667
99,20,-1.096666667
99,25,-0.376666666999999
99,27,1.16
99,28,1.026666667
99,29,1.84
99,30,-0.0899999999999999
99,31,-1.056666667
99,32,-0.346666667
99,33,-0.24
99,35,-0.523333333
99,37,-1.076666667
99,39,-1.023333333
99,40,-1.36
99,41,-1.806666667
99,42,-1.62
99,43,-1.016666667
99,44,-1.03
99,46,-0.333333333
99,47,0.00333333300000005
99,48,-0.14
99,49,-0.056666667
99,50,0.686666667
99,51,0.876666667
99,53,1.136666667
99,55,-0.873333333000001
99,56,-0.44
99,58,-0.180000000000001
99,60,-0.123333333
99,62,-0.253333333
99,64,-0.31
99,66,0.0766666669999996
99,68,-1.246666667
99,70,0.653333333
99,71,0.350000000000001
99,74,0.113333333
99,78,-2.44
99,79,-2.03
99,81,-2.08
99,83,-0.636666667
99,84,-0.966666667
99,85,-0.743333333
99,86,-0.66
99,87,-0.77
99,88,-0.683333333
99,90,-0.0233333330000001
99,91,0.286666667
99,92,0.506666667
99,94,0.263333333
99,95,0.16
99,96,0.126666667
99,98,0.403333333
99,99,0.206666666999999
99,100,0.00333333299999961
99,102,0.236666667
99,104,-1.61
99,107,-0.806666667
99,109,-1.786666667
99,110,-0.826666667
99,114,-0.053333333
100,9,-0.380000000000001
100,17,-0.903333333
100,19,-1.576666667
100,20,-0.346666667
100,21,0.0366666670000004
100,22,0.406666667
100,23,0.293333333
100,24,-0.136666667
100,25,-0.276666667
100,26,0.46
100,27,1.01
100,28,0.976666667
100,29,0.789999999999999
100,30,0.41
100,31,-1.156666667
100,33,-0.24
100,34,0.246666667
100,35,-1.023333333
404,37,-0.956666667
404,38,-0.930000000000001
404,39,-0.433333332999999
404,40,-1.3
404,41,-1.386666667
404,42,-0.82
404,43,-1.076666667
404,44,-0.84
404,45,-0.46
404,46,-0.343333333
404,47,-0.106666667
404,48,0
404,49,-0.0666666670000002
404,50,0.936666667
404,52,0.850000000000001
404,53,0.586666666999999
404,54,-0.483333333
404,55,-1.303333333
404,56,-0.79
404,57,-0.510000000000001
404,58,-0.11
404,59,-0.0133333330000003
404,60,-0.283333333
404,61,-0.46
404,62,-0.383333332999999
404,63,-0.183333333
404,64,-0.43
404,65,-0.106666667
404,66,-0.253333333
404,67,-0.356666667
404,70,0.303333332999999
404,71,0.220000000000001
404,73,0.59
405,37,-0.576666667
405,38,-0.56
405,39,0.0766666670000005
405,40,-0.56
405,41,-1.506666667
405,42,-0.82
405,43,-1.516666667
405,45,-0.34
405,46,-0.633333333
405,48,-0.34
405,49,-0.156666667
405,50,0.586666667
405,51,0.976666667
405,52,1.18
405,53,0.736666667
405,55,-1.133333333
405,56,-1.34
405,58,-0.28
405,60,-0.223333333
405,61,-0.140000000000001
405,71,0.350000000000001
405,74,NaN
405,84,-0.966666667
405,85,-0.743333333
405,86,-0.36
405,87,-0.77
405,89,-0.583333333
405,90,-0.423333333
405,94,0.363333333
405,99,0.306666667
405,100,0.103333333
405,102,0.136666667
405,103,-0.296666666999999
405,104,-1.21
407,37,-1.176666667
407,38,-1.34
407,39,-0.123333333
407,40,-1.16
407,41,-1.906666667
407,42,-1.62
407,43,-1.516666667
407,44,-1.33
407,45,-0.84
407,46,-0.533333333
407,47,-0.496666667
407,48,-0.78
407,49,-0.00666666700000018
407,50,0.906666667
407,51,1.076666667
407,52,1.38
407,53,0.736666667
407,54,-1.003333333
407,55,-0.633333333
407,56,-0.74
407,57,-0.27
407,58,-0.180000000000001
407,59,0.586666667
407,60,-0.163333333
407,61,-0.140000000000001
407,62,-0.653333333
407,63,-0.153333333
407,65,-0.746666667
407,67,-0.176666667
407,68,-1.446666667
407,69,-1.093333333
407,70,0.753333333
407,71,0.15
407,72,0.643333332999999
407,73,0.319999999999999
407,74,0.513333332999999
407,75,0.216666667
407,76,0.016666667
407,77,-1.183333333
407,78,-2.34
407,80,-1.693333333
407,81,-1.88
407,82,-0.486666667
