CG_h2_data1,CG_h2_data2,CG_h2_data3,CG_h2_data4
426,61,-0.0500000000000007,0.0300000000000002
426,62,0.156666667000001,-0.16
426,63,0.146666667,0.19
426,64,-0.37,0.54
426,65,-0.346666667,-0.109999999999999
426,66,-0.293333333,-0.19
426,67,-0.186666667,-0.3
426,70,0.733333333,-1.03
426,71,0.42,0.330000000000001
426,72,0.733333333,0.0299999999999994
426,73,0.789999999999999,0.41
426,76,-0.173333333,0.48
426,77,-1.573333333,0.52
426,78,-2.41,0.0200000000000005
426,82,-0.486666667,-1.11
426,83,-0.316666667,-0.63
426,84,-0.946666667,0
426,85,-0.783333333,-0.5
426,86,-0.54,-0.5
426,87,-0.47,-0.43
426,88,-0.333333333,-0.39
426,89,0.056666667,-0.46
426,90,0.176666667,0.04
426,91,0.376666667,0
426,92,0.656666667,0
426,95,0.43,0.0700000000000003
426,98,0.333333333,0.47
426,99,0.0466666669999993,0.49
426,100,0.0533333330000003,0
426,101,-0.316666667,0.43
426,102,-0.233333333,-0.0600000000000005
426,103,-0.696666667,0.0899999999999999
426,104,-1.77,0.24
426,105,-2.706666667,0.0800000000000001
426,108,-1.003333333,-1.33
426,109,-1.606666667,0.12
426,110,-1.176666667,-0.75
426,111,0.026666667,-1.17
426,112,-0.090433333,-0.1029
426,113,-0.020133333,-0.0423
426,114,-0.046033333,-0.0305
426,115,-0.464433333,-0.0255
426,116,-0.056033333,-0.7762
426,117,-0.030033333,-0.5781
426,118,-0.160033333,-0.4833
426,119,-0.123766667,-0.5629
426,120,-0.098266667,-0.0355
426,121,0.010866667,-0.1725
426,122,0.071666667,-0.1557
426,123,0.089333333,-0.000999999999999999
426,124,0.00346666700000001,0.0692
426,125,0.006566667,0
426,126,-0.0271,0
426,127,-0.048766667,0.00810000000000001
426,128,-0.016766667,0
426,129,0.002066667,-0.0355
426,130,0.004633333,-0.0261
426,131,-0.018333333,-0.000600000000000003
426,132,-0.026366667,-0.0053
426,133,-0.009033333,-0.0201
426,134,-0.03,0
426,135,-0.0175,0.0125
426,136,-0.115066667,0.0609
426,137,-0.229433333,-0.1288
426,138,-0.515033333,-0.1422
426,139,-0.453333333,-0.645
426,140,-0.255,-0.3917
426,141,0.0349999999999999,-0.4333
426,142,0.185,0
426,143,0.068766667,0.0155999999999999
426,144,-0.0733333330000001,-0.0219
426,145,0.28,-0.0417000000000001
426,149,0.731666667,0
426,150,-0.2033,0.8483
427,40,-0.86,-0.399999999999999
427,41,-1.406666667,-0.2
427,42,-1.42,-0.300000000000001
427,43,-0.816666667,-1.4
427,44,-0.93,-0.0999999999999996
427,45,-0.94,-0.6
427,46,NaN,NaN
427,47,-0.296666667,NaN
